Motor (out),Derivative (internal),Integral (internal),Proportional (internal),Set point (internal),Last error (internal),Level 1 (in),Level 2 (in),Level 3 (in)
0.0,0.0,0.0,0.0,0.0,0.0,5.147080276983033,1.149118013242823,2.2742794867224445
-0.0,0.0,0.0,0.0,0.0,-0.05147080276983033,5.530462416137015,2.3462620531321767,4.485081762540246
-0.0,0.0,0.0,0.0,0.0,-0.05530462416137014,7.311196925955158,3.863426371409231,6.9601484435800165
-0.0,0.0,0.0,0.0,0.0,-0.07311196925955157,7.012002861289606,5.023383790165404,8.291704369458293
0.0,0.0,0.0,0.0,0.0,-0.07012002861289605,7.810720717649441,14.75922869457436,21.518029366565166
-0.0,0.0,0.0,0.0,0.0,-0.07810720717649441,7.225807623463649,16.95283011102467,20.94893810636775
0.0,0.0,0.0,0.0,5.0,-0.022258076234636492,4.5832683943767325,20.91940363110316,20.615124275858275
0.0,0.0,0.0,0.0,5.0,0.004167316056232675,4.473444919497209,22.488274631911395,15.898078724759824
0.0,0.0,0.0,0.0,5.0,0.005265550805027912,1.2677302618810722,12.557928249252608,5.247603840734387
0.0,0.0,0.0,0.0,5.0,0.037322697381189276,1.7771724102815294,12.818475618054038,1.5293677469785463
0.161141,0.0,0.0,5.0,5.0,0.03222827589718471,6.5529726093361385,6.9109548507919225,1.300756608856866
-0.077649,0.0,0.0,5.0,5.0,-0.015529726093361385,7.015443955847273,6.734388562713491,3.2675149703833615
-0.100772,0.0,0.0,5.0,5.0,-0.020154439558472726,4.984295991234623,17.65931736682817,13.720609591331312
0.000785,0.0,0.0,5.0,5.0,0.00015704008765377253,4.7861787868222,16.30893707190254,17.130079983596957
0.010690999999999999,0.0,0.0,5.0,5.0,0.0021382121317780013,9.94700526864548,18.837525341686206,24.557868637842052
0.0,0.0,0.0,0.0,0.0,0.0,9.329020077261234,16.072712550330266,24.509038631278045
0.0,0.0,0.0,5.0,5.0,0.0021382121317780013,4.728593592088641,10.148838464797526,17.339847316876494
0.0,0.0,0.0,0.0,0.0,0.0,4.545011798602008,7.414752022942826,13.718436181508192
0.0,0.0,0.0,5.0,5.0,0.0021382121317780013,1.735627582280564,0.2534909768036491,0.49297400187218704
0.0,0.0,0.0,0.0,0.0,0.0,2.223700966848301,0.08859667839531718,0.17660258138720256
0.0,0.0,0.0,5.0,5.0,0.0021382121317780013,8.073845766735596,1.7124109947526878,3.416645248791496
-0.153692,0.0,0.0,5.0,5.0,-0.030738457667355962,8.571407073994061,5.40907538238155,10.55761466451279
-0.17857,0.0,0.0,5.0,5.0,-0.035714070739940616,3.9041912958621863,0.60563880157694,1.1276127127225746
0.05479,0.0,0.0,5.0,5.0,0.010958087041378137,3.7709558127944076,0.8306873622791178,1.437922034153896
0.061452,0.0,0.0,5.0,5.0,0.012290441872055923,11.193854557251115,2.215956702121859,3.4500775090133065
-0.309693,0.0,0.0,5.0,5.0,-0.06193854557251115,10.604455917282554,2.6036635775137653,3.5166788704096077
-0.280223,0.0,0.0,5.0,5.0,-0.05604455917282554,4.42426310615015,10.556105565258152,11.756875588735053
0.028786999999999997,0.0,0.0,5.0,5.0,0.005757368938498502,4.142348741419793,11.516458060284004,9.741417099152015
0.042883,0.0,0.0,5.0,5.0,0.008576512585802068,6.849020856007761,1.4650272615803108,0.8262946432772135
0.0,0.0,0.0,0.0,0.0,0.0,7.244687292911251,1.5130927036020716,0.40756056648787625
0.0,0.0,0.0,0.0,0.0,0.0,2.1241698041398718,24.389686034319634,0.9194150537912067
0.0,0.0,0.0,0.0,0.0,0.0,2.6862669883606296,24.030776184571618,8.263179456858524
0.0,0.0,0.0,0.0,0.0,0.0,4.007719149029079,2.389290997107807,1.547865942214485
0.0,0.0,0.0,0.0,0.0,0.0,3.9689124737886994,2.2319056561038333,2.0887503982155793
0.0,0.0,0.0,0.0,0.0,0.0,7.0410035538220574,9.633529369226661,11.568331749109184
0.0,0.0,0.0,0.0,0.0,0.0,6.442386239313748,8.383425007897591,12.040715926993657
0.0,0.0,0.0,0.0,0.0,0.0,6.914178268861786,0.9176282851530831,1.501514644398408
0.0,0.0,0.0,0.0,0.0,0.0,6.586220619777201,0.7065804613816992,1.267098074930954
0.0,0.0,0.0,0.0,0.0,0.0,1.1183235795651685,7.134694643772075,13.59843320709668
0.0,0.0,0.0,0.0,0.0,0.0,1.4735288631655594,3.6831096960311567,7.2755290078057495
0.0,0.0,0.0,0.0,0.0,0.0,2.0487480755746805,0.07396587016292845,0.14793101031257963
0.0,0.0,0.0,5.0,5.0,0.008576512585802068,7.225431465308191,1.3240909068983648,2.6193664516669215
-0.111272,0.0,0.0,5.0,5.0,-0.022254314653081905,7.598332334708253,2.646404300002995,5.058829488550254
-0.129917,0.0,0.0,5.0,5.0,-0.025983323347082532,8.95110156198476,3.4092945428950348,6.142008110220879
-0.197555,0.0,0.0,5.0,5.0,-0.03951101561984761,8.642586556632434,4.453235440796309,7.33476910081992
-0.182129,0.0,0.0,5.0,5.0,-0.03642586556632434,2.2740176261324856,11.491578044941523,16.753999748654103
0.136299,0.0,0.0,5.0,5.0,0.027259823738675144,1.6891045319466935,13.199522436771414,16.310903651521546
0.165545,0.0,0.0,5.0,5.0,0.03310895468053307,3.1978674020294,9.237977125326113,9.103607820491728
0.09010699999999999,0.0,0.0,5.0,5.0,0.018021325979706,3.086547317944345,9.918950281049867,7.070463409064621
0.095673,0.0,0.0,5.0,5.0,0.01913452682055655,8.60806910225892,12.517882511958689,5.230869857177734
-0.18040299999999998,0.0,0.0,5.0,5.0,-0.0360806910225892,9.117511250659378,12.777599026237258,1.5244907754108084
-0.20587599999999998,0.0,0.0,5.0,5.0,-0.04117511250659378,6.026236731528446,10.955341514489868,2.061977423513881
-0.051311999999999997,0.0,0.0,5.0,5.0,-0.010262367315284458,6.488708078039579,10.675446184885253,5.179710065701854
-0.074435,0.0,0.0,5.0,5.0,-0.014887080780395792,11.662968931788482,5.128079650903021,3.9546108490233287
-0.333148,0.0,0.0,5.0,5.0,-0.06662968931788482,11.472064881959614,4.73884887612734,4.952083472364644
-0.32360300000000003,0.0,0.0,5.0,5.0,-0.06472064881959615,2.0786658387331176,18.473355882372857,23.817974419308452
0.146067,0.0,0.0,5.0,5.0,0.029213341612668822,1.4850047879202346,15.92349153179545,23.954820951368937
0.17575,0.0,0.0,5.0,5.0,0.035149952120797655,0.7906963812805928,5.050038664198951,8.510733322853444
0.210465,0.0,0.0,5.0,5.0,0.04209303618719407,0.5570052831488675,3.7786094567455715,6.91667790013661
0.22215,0.0,0.0,5.0,5.0,0.04442994716851133,1.0415535393670228,4.94235090928848,9.542509640996068
0.19792200000000001,0.0,0.0,5.0,5.0,0.03958446460632978,1.4746215273856151,2.138370784358822,4.2494187948489355
0.17626899999999998,0.0,0.0,5.0,5.0,0.03525378472614385,5.76339357464681,0.7274042247663155,1.453774768326536
-0.03817,0.0,0.0,5.0,5.0,-0.007633935746468099,6.306821291338857,3.6759178172894895,7.21725093577012
-0.065341,0.0,0.0,5.0,5.0,-0.013068212913388572,10.00794257227816,7.593792293156029,14.305797992270975
-0.250397,0.0,0.0,5.0,5.0,-0.05007942572278161,9.948319367259785,10.707768538670974,18.86297884315725
-0.24741599999999997,0.0,0.0,5.0,5.0,-0.04948319367259785,3.0153623643954828,1.925401169181905,3.0794275528557535
0.099232,0.0,0.0,5.0,5.0,0.01984637635604517,2.4292912512367164,2.2958336233960797,3.2057432872352534
0.128535,0.0,0.0,5.0,5.0,0.025707087487632837,5.412218360422656,4.177575572171362,4.868467028000515
-0.020611,0.0,0.0,5.0,5.0,-0.0041221836042265635,5.069092141822108,4.58013266613172,4.158673435941125
-0.0034549999999999997,0.0,0.0,5.0,5.0,-0.0006909214182210821,5.065284113370619,4.883799380727328,3.047523014303531
-0.0032640000000000004,0.0,0.0,5.0,5.0,-0.0006528411337061879,2.869106886299704,20.56728629197197,6.817484574254744
0.106545,0.0,0.0,5.0,5.0,0.02130893113700296,3.4241759798607245,20.853145113013255,0.6550939344790824
0.078791,0.0,0.0,5.0,5.0,0.015758240201392756,3.8113617601814087,17.951390922330635,4.83531447619385
